DATE,TIME,Home,Away
12/26/2017,15:00,Chelsea,Brighton
12/26/2017,15:00,Crystal Palace,Arsenal
12/26/2017,15:00,Huddersfield,Stoke
12/26/2017,15:00,Liverpool,Swansea
12/26/2017,15:00,Man Utd,Burnley
12/26/2017,15:00,Newcastle,Man City
12/26/2017,15:00,Tottenham,Southampton
12/26/2017,15:00,Watford,Leicester
12/26/2017,15:00,West Brom,Everton
12/30/2017,15:00,Bournemouth,Everton
12/30/2017,15:00,Chelsea,Stoke
12/30/2017,15:00,Crystal Palace,Man City
12/30/2017,15:00,Huddersfield,Burnley
12/30/2017,15:00,Liverpool,Leicester
12/30/2017,15:00,Man Utd,Southampton
12/30/2017,15:00,Newcastle,Brighton
12/30/2017,15:00,Tottenham,West Ham
12/30/2017,15:00,Watford,Swansea
12/30/2017,15:00,West Brom,Arsenal
1/1/2018,15:00,Arsenal,Chelsea
1/1/2018,15:00,Brighton,Bournemouth
1/1/2018,15:00,Burnley,Liverpool
1/1/2018,15:00,Everton,Man Utd
1/1/2018,15:00,Leicester,Huddersfield
1/1/2018,15:00,Man City,Watford
1/1/2018,15:00,Southampton,Crystal Palace
1/1/2018,15:00,Stoke,Newcastle
1/1/2018,15:00,Swansea,Tottenham
1/1/2018,15:00,West Ham,West Brom
1/13/2018,15:00,Bournemouth,Arsenal
1/13/2018,15:00,Chelsea,Leicester
1/13/2018,15:00,Crystal Palace,Burnley
1/13/2018,15:00,Huddersfield,West Ham
1/13/2018,15:00,Liverpool,Man City
1/13/2018,15:00,Man Utd,Stoke
1/13/2018,15:00,Newcastle,Swansea
1/13/2018,15:00,Tottenham,Everton
1/13/2018,15:00,Watford,Southampton
1/13/2018,15:00,West Brom,Brighton
1/20/2018,15:00,Arsenal,Crystal Palace
1/20/2018,15:00,Brighton,Chelsea
1/20/2018,15:00,Burnley,Man Utd
1/20/2018,15:00,Everton,West Brom
1/20/2018,15:00,Leicester,Watford
1/20/2018,15:00,Man City,Newcastle
1/20/2018,15:00,Southampton,Tottenham
1/20/2018,15:00,Stoke,Huddersfield
1/20/2018,15:00,Swansea,Liverpool
1/20/2018,15:00,West Ham,Bournemouth
1/30/2018,19:45,Huddersfield,Liverpool
1/30/2018,19:45,Swansea,Arsenal
1/30/2018,19:45,West Ham,Crystal Palace
1/31/2018,19:45,Chelsea,Bournemouth
1/31/2018,19:45,Everton,Leicester
1/31/2018,19:45,Newcastle,Burnley
1/31/2018,19:45,Southampton,Brighton
1/31/2018,20:00,Man City,West Brom
1/31/2018,20:00,Stoke,Watford
1/31/2018,20:00,Tottenham,Man Utd
2/3/2018,15:00,Arsenal,Everton
2/3/2018,15:00,Bournemouth,Stoke
2/3/2018,15:00,Brighton,West Ham
2/3/2018,15:00,Burnley,Man City
2/3/2018,15:00,Crystal Palace,Newcastle
2/3/2018,15:00,Leicester,Swansea
2/3/2018,15:00,Liverpool,Tottenham
2/3/2018,15:00,Man Utd,Huddersfield
2/3/2018,15:00,Watford,Chelsea
2/3/2018,15:00,West Brom,Southampton
2/10/2018,15:00,Chelsea,West Brom
2/10/2018,15:00,Everton,Crystal Palace
2/10/2018,15:00,Huddersfield,Bournemouth
2/10/2018,15:00,Man City,Leicester
2/10/2018,15:00,Newcastle,Man Utd
2/10/2018,15:00,Southampton,Liverpool
2/10/2018,15:00,Stoke,Brighton
2/10/2018,15:00,Swansea,Burnley
2/10/2018,15:00,Tottenham,Arsenal
2/10/2018,15:00,West Ham,Watford
2/24/2018,15:00,Arsenal,Man City
2/24/2018,15:00,Bournemouth,Newcastle
2/24/2018,15:00,Brighton,Swansea
2/24/2018,15:00,Burnley,Southampton
2/24/2018,15:00,Crystal Palace,Tottenham
2/24/2018,15:00,Leicester,Stoke
2/24/2018,15:00,Liverpool,West Ham
2/24/2018,15:00,Man Utd,Chelsea
2/24/2018,15:00,Watford,Everton
2/24/2018,15:00,West Brom,Huddersfield
3/3/2018,15:00,Brighton,Arsenal
3/3/2018,15:00,Burnley,Everton
3/3/2018,15:00,Crystal Palace,Man Utd
3/3/2018,15:00,Leicester,Bournemouth
3/3/2018,15:00,Liverpool,Newcastle
3/3/2018,15:00,Man City,Chelsea
