"season","team","opponent","playing","half","goals"
"2016/17","Tottenham","Swansea",0,"first",0
"2016/17","Bournemouth","Chelsea",1,"first",1
"2016/17","Man City","Hull",1,"first",1
"2016/17","Middlesbrough","Burnley",1,"first",0
"2016/17","Stoke","Liverpool",1,"first",1
"2016/17","Tottenham","Watford",1,"first",3
"2016/17","West Brom","Southampton",1,"first",0
"2016/17","West Ham","Swansea",1,"first",1
"2016/17","Chelsea","Bournemouth",0,"first",2
"2016/17","Hull","Man City",0,"first",0
"2016/17","Burnley","Middlesbrough",0,"first",0
"2016/17","Liverpool","Stoke",0,"first",0
"2016/17","Watford","Tottenham",0,"first",0
"2016/17","Southampton","West Brom",0,"first",1
"2016/17","Swansea","West Ham",0,"first",0
"2016/17","Everton","Leicester",1,"first",3
"2016/17","Sunderland","Man Utd",1,"first",0
"2016/17","Leicester","Everton",0,"first",2
"2016/17","Man Utd","Sunderland",0,"first",1
"2016/17","Crystal Palace","Arsenal",1,"first",1
"2016/17","Arsenal","Crystal Palace",0,"first",0
"2016/17","Crystal Palace","Leicester",1,"first",0
"2016/17","Everton","Burnley",1,"first",0
"2016/17","Southampton","Man City",1,"first",0
"2016/17","Stoke","Hull",1,"first",1
"2016/17","Sunderland","West Ham",1,"first",1
"2016/17","Tottenham","Bournemouth",1,"first",2
"2016/17","Watford","Swansea",1,"first",1
"2016/17","Leicester","Crystal Palace",0,"first",1
"2016/17","Burnley","Everton",0,"first",0
"2016/17","Man City","Southampton",0,"first",0
"2016/17","Hull","Stoke",0,"first",0
"2016/17","West Ham","Sunderland",0,"first",1
"2016/17","Bournemouth","Tottenham",0,"first",0
"2016/17","Swansea","Watford",0,"first",0
"2016/17","Man Utd","Chelsea",1,"first",1
"2016/17","West Brom","Liverpool",1,"first",0
"2016/17","Chelsea","Man Utd",0,"first",0
"2016/17","Liverpool","West Brom",0,"first",1
"2016/17","Middlesbrough","Arsenal",1,"first",0
"2016/17","Arsenal","Middlesbrough",0,"first",1
"2016/17","Bournemouth","Middlesbrough",1,"first",2
"2016/17","Hull","Watford",1,"first",0
"2016/17","Swansea","Stoke",1,"first",1
"2016/17","West Ham","Everton",1,"first",0
"2016/17","Middlesbrough","Bournemouth",0,"first",0
"2016/17","Watford","Hull",0,"first",0
"2016/17","Stoke","Swansea",0,"first",0
"2016/17","Everton","West Ham",0,"first",0
"2016/17","Burnley","Man Utd",1,"first",0
"2016/17","Liverpool","Crystal Palace",1,"first",1
"2016/17","Man Utd","Burnley",0,"first",2
"2016/17","Crystal Palace","Liverpool",0,"first",1
"2016/17","Chelsea","Southampton",1,"first",2
"2016/17","Southampton","Chelsea",0,"first",1
"2016/17","Arsenal","Leicester",1,"first",0
"2016/17","Crystal Palace","Tottenham",1,"first",0
"2016/17","Middlesbrough","Sunderland",1,"first",1
"2016/17","Leicester","Arsenal",0,"first",0
"2016/17","Tottenham","Crystal Palace",0,"first",0
"2016/17","Sunderland","Middlesbrough",0,"first",0
"2016/17","Man City","Man Utd",1,"first",0
"2016/17","Man Utd","Man City",0,"first",0
"2016/17","Crystal Palace","Burnley",1,"first",0
"2016/17","Southampton","Hull",1,"first",0
"2016/17","Stoke","West Ham",1,"first",0
"2016/17","Sunderland","Bournemouth",1,"first",0
"2016/17","West Brom","Leicester",1,"first",0
"2016/17","Burnley","Crystal Palace",0,"first",1
"2016/17","Hull","Southampton",0,"first",0
"2016/17","West Ham","Stoke",0,"first",0
"2016/17","Bournemouth","Sunderland",0,"first",0
"2016/17","Leicester","West Brom",0,"first",1
"2016/17","Everton","Chelsea",1,"first",0
"2016/17","Man Utd","Swansea",1,"first",1
"2016/17","Middlesbrough","Man City",1,"first",1
"2016/17","Tottenham","Arsenal",1,"first",0
"2016/17","Chelsea","Everton",0,"first",0
"2016/17","Swansea","Man Utd",0,"first",0
"2016/17","Man City","Middlesbrough",0,"first",0
"2016/17","Arsenal","Tottenham",0,"first",0
"2016/17","Watford","Liverpool",1,"first",0
"2016/17","Liverpool","Watford",0,"first",1
"2016/17","West Ham","Tottenham",1,"first",0
"2016/17","Tottenham","West Ham",0,"first",0
"2016/17","Bournemouth","Stoke",1,"first",0
"2016/17","Burnley","West Brom",1,"first",0
"2016/17","Hull","Sunderland",1,"first",0
"2016/17","Leicester","Watford",1,"first",1
"2016/17","Man City","Crystal Palace",1,"first",1
"2016/17","Swansea","Everton",1,"first",1
"2016/17","Stoke","Bournemouth",0,"first",1
"2016/17","West Brom","Burnley",0,"first",0
"2016/17","Sunderland","Hull",0,"first",0
"2016/17","Watford","Leicester",0,"first",0
"2016/17","Crystal Palace","Man City",0,"first",0
"2016/17","Everton","Swansea",0,"first",0
"2016/17","Arsenal","Man Utd",1,"first",0
"2016/17","Liverpool","Southampton",1,"first",0
"2016/17","Man Utd","Arsenal",0,"first",0
"2016/17","Southampton","Liverpool",0,"first",0
"2016/17","Chelsea","Middlesbrough",1,"first",2
"2016/17","Middlesbrough","Chelsea",0,"first",0
"2016/17","Southampton","Arsenal",1,"first",0
"2016/17","Arsenal","Southampton",0,"first",0
"2016/17","Everton","Watford",1,"first",0
"2016/17","West Brom","Chelsea",1,"first",0
"2016/17","Watford","Everton",0,"first",0
"2016/17","Chelsea","West Brom",0,"first",0
"2016/17","Bournemouth","Burnley",1,"first",1
"2016/17","Man City","Leicester",1,"first",2
"2016/17","Middlesbrough","Southampton",1,"first",0
"2016/17","Stoke","Arsenal",1,"first",0
"2016/17","Sunderland","Swansea",1,"first",0
"2016/17","Burnley","Bournemouth",0,"first",0
"2016/17","Leicester","Man City",0,"first",1
"2016/17","Southampton","Middlesbrough",0,"first",1
"2016/17","Arsenal","Stoke",0,"first",1
"2016/17","Swansea","Sunderland",0,"first",2
"2016/17","Crystal Palace","Hull",1,"first",2
"2016/17","Tottenham","Man Utd",1,"first",1
"2016/17","West Ham","Liverpool",1,"first",0
"2016/17","Hull","Crystal Palace",0,"first",0
"2016/17","Man Utd","Tottenham",0,"first",0
"2016/17","Liverpool","West Ham",0,"first",1
"2016/17","Chelsea","Watford",1,"first",2
"2016/17","Watford","Chelsea",0,"first",1
"2016/17","Arsenal","Sunderland",1,"first",0
"2016/17","Man City","West Brom",1,"first",2
"2016/17","Sunderland","Arsenal",0,"first",0
"2016/17","West Brom","Man City",0,"first",0
"2016/17","Southampton","Man Utd",1,"first",0
"2016/17","Man Utd","Southampton",0,"first",0
"2016/17","Leicester","Tottenham",1,"first",0
"2016/17","Tottenham","Leicester",0,"first",2
"2016/17","Arsenal","Everton",1,"first",2
"2016/17","Burnley","West Ham",1,"first",1
"2016/17","Chelsea","Sunderland",1,"first",1
"2016/17","Hull","Tottenham",1,"first",0
"2016/17","Leicester","Bournemouth",1,"first",0
"2016/17","Liverpool","Middlesbrough",1,"first",1
"2016/17","Man Utd","Crystal Palace",1,"first",2
"2016/17","Southampton","Stoke",1,"first",0
"2016/17","Swansea","West Brom",1,"first",0
"2016/17","Watford","Man City",1,"first",0
"2016/17","Everton","Arsenal",0,"first",0
"2016/17","West Ham","Burnley",0,"first",1
"2016/17","Sunderland","Chelsea",0,"first",1
"2016/17","Tottenham","Hull",0,"first",3
"2016/17","Bournemouth","Leicester",0,"first",1
"2016/17","Middlesbrough","Liverpool",0,"first",0
"2016/17","Crystal Palace","Man Utd",0,"first",0
"2016/17","Stoke","Southampton",0,"first",0
"2016/17","West Brom","Swansea",0,"first",1
"2016/17","Man City","Watford",0,"first",4
"2012/13","Reading","Stoke",1,"second",1
"2012/13","QPR","Swansea",1,"second",0
"2012/13","West Brom","Liverpool",1,"second",2
"2012/13","West Ham","Aston Villa",1,"second",0
"2012/13","Arsenal","Sunderland",1,"second",0
"2012/13","Fulham","Norwich",1,"second",3
"2012/13","Newcastle","Tottenham",1,"second",2
"2012/13","Stoke","Reading",0,"second",0
"2012/13","Swansea","QPR",0,"second",4
"2012/13","Liverpool","West Brom",0,"second",0
"2012/13","Aston Villa","West Ham",0,"second",0
"2012/13","Sunderland","Arsenal",0,"second",0
"2012/13","Norwich","Fulham",0,"second",0
"2012/13","Tottenham","Newcastle",0,"second",1
"2012/13","Wigan","Chelsea",1,"second",0
"2012/13","Man City","Southampton",1,"second",2
"2012/13","Chelsea","Wigan",0,"second",0
"2012/13","Southampton","Man City",0,"second",2
"2012/13","Everton","Man Utd",1,"second",1
"2012/13","Man Utd","Everton",0,"second",0
"2012/13","Chelsea","Reading",1,"second",3
"2012/13","Reading","Chelsea",0,"second",0
"2012/13","Swansea","West Ham",1,"second",1
"2012/13","Tottenham","West Brom",1,"second",1
"2012/13","Aston Villa","Everton",1,"second",1
"2012/13","Man Utd","Fulham",1,"second",0
"2012/13","Norwich","QPR",1,"second",0
"2012/13","Southampton","Wigan",1,"second",0
"2012/13","Chelsea","Newcastle",1,"second",0
"2012/13","West Ham","Swansea",0,"second",0
"2012/13","West Brom","Tottenham",0,"second",1
"2012/13","Everton","Aston Villa",0,"second",0
"2012/13","Fulham","Man Utd",0,"second",1
"2012/13","QPR","Norwich",0,"second",0
"2012/13","Wigan","Southampton",0,"second",2
"2012/13","Newcastle","Chelsea",0,"second",0
"2012/13","Stoke","Arsenal",1,"second",0
"2012/13","Liverpool","Man City",1,"second",1
"2012/13","Arsenal","Stoke",0,"second",0
"2012/13","Man City","Liverpool",0,"second",2
"2012/13","West Ham","Fulham",1,"second",0
"2012/13","Wigan","Stoke",1,"second",1
"2012/13","Swansea","Sunderland",1,"second",1
"2012/13","Tottenham","Norwich",1,"second",1
"2012/13","West Brom","Everton",1,"second",2
"2012/13","Man City","QPR",1,"second",2
"2012/13","Fulham","West Ham",0,"second",0
"2012/13","Stoke","Wigan",0,"second",1
"2012/13","Sunderland","Swansea",0,"second",0
"2012/13","Norwich","Tottenham",0,"second",1
"2012/13","Everton","West Brom",0,"second",0
"2012/13","QPR","Man City",0,"second",1
"2012/13","Liverpool","Arsenal",1,"second",0
"2012/13","Newcastle","Aston Villa",1,"second",1
"2012/13","Southampton","Man Utd",1,"second",1
"2012/13","Arsenal","Liverpool",0,"second",1
"2012/13","Aston Villa","Newcastle",0,"second",0
"2012/13","Man Utd","Southampton",0,"second",2
"2012/13","Norwich","West Ham",1,"second",0
"2012/13","QPR","Chelsea",1,"second",0
"2012/13","Stoke","Man City",1,"second",0
"2012/13","Aston Villa","Swansea",1,"second",1
"2012/13","Fulham","West Brom",1,"second",1
"2012/13","Sunderland","Liverpool",1,"second",0
"2012/13","Man Utd","Wigan",1,"second",4
"2012/13","Arsenal","Southampton",1,"second",2
"2012/13","West Ham","Norwich",0,"second",0
"2012/13","Chelsea","QPR",0,"second",0
"2012/13","Man City","Stoke",0,"second",0
"2012/13","Swansea","Aston Villa",0,"second",0
"2012/13","West Brom","Fulham",0,"second",0
"2012/13","Liverpool","Sunderland",0,"second",1
"2012/13","Wigan","Man Utd",0,"second",0
"2012/13","Southampton","Arsenal",0,"second",0
"2012/13","Reading","Tottenham",1,"second",1
"2012/13","Tottenham","Reading",0,"second",2
"2012/13","Everton","Newcastle",1,"second",1
"2012/13","Newcastle","Everton",0,"second",2
"2012/13","Swansea","Everton",1,"second",0
"2012/13","Chelsea","Stoke",1,"second",1
"2012/13","West Brom","Reading",1,"second",1
"2012/13","West Ham","Sunderland",1,"second",1
"2012/13","Wigan","Fulham",1,"second",1
"2012/13","Southampton","Aston Villa",1,"second",4
"2012/13","Everton","Swansea",0,"second",1
"2012/13","Stoke","Chelsea",0,"second",0
"2012/13","Reading","West Brom",0,"second",0
"2012/13","Sunderland","West Ham",0,"second",0
"2012/13","Fulham","Wigan",0,"second",1
"2012/13","Aston Villa","Southampton",0,"second",0
"2012/13","Liverpool","Man Utd",1,"second",1
"2012/13","Newcastle","Norwich",1,"second",0
"2012/13","Tottenham","QPR",1,"second",2
"2012/13","Man City","Arsenal",1,"second",0
"2012/13","Man Utd","Liverpool",0,"second",2
"2012/13","Norwich","Newcastle",0,"second",0
"2012/13","QPR","Tottenham",0,"second",0
"2012/13","Arsenal","Man City",0,"second",1
"2012/13","Arsenal","Chelsea",1,"second",0
"2012/13","Everton","Southampton",1,"second",0
"2012/13","Fulham","Man City",1,"second",0
"2012/13","Norwich","Liverpool",1,"second",2
"2012/13","Reading","Newcastle",1,"second",2
"2012/13","Stoke","Swansea",1,"second",0
"2012/13","Sunderland","Wigan",1,"second",1
"2012/13","Man Utd","Tottenham",1,"second",2
"2012/13","Chelsea","Arsenal",0,"second",1
"2012/13","Southampton","Everton",0,"second",0
"2012/13","Man City","Fulham",0,"second",1
"2012/13","Liverpool","Norwich",0,"second",3
"2012/13","Newcastle","Reading",0,"second",2
"2012/13","Swansea","Stoke",0,"second",0
"2012/13","Wigan","Sunderland",0,"second",0
"2012/13","Tottenham","Man Utd",0,"second",1
"2012/13","Aston Villa","West Brom",1,"second",1
"2012/13","West Brom","Aston Villa",0,"second",1
"2012/13","QPR","West Ham",1,"second",1
"2012/13","West Ham","QPR",0,"second",0
"2012/13","West Ham","Arsenal",1,"second",0
"2012/13","Wigan","Everton",1,"second",0
"2012/13","West Brom","QPR",1,"second",1
"2012/13","Chelsea","Norwich",1,"second",1
"2012/13","Swansea","Reading",1,"second",2
"2012/13","Man City","Sunderland",1,"second",2
"2012/13","Arsenal","West Ham",0,"second",2
"2012/13","Everton","Wigan",0,"second",1
"2012/13","QPR","West Brom",0,"second",1
"2012/13","Norwich","Chelsea",0,"second",0
"2012/13","Reading","Swansea",0,"second",0
"2012/13","Sunderland","Man City",0,"second",0
"2012/13","Liverpool","Stoke",1,"second",0
"2012/13","Newcastle","Man Utd",1,"second",0
"2012/13","Tottenham","Aston Villa",1,"second",2
"2012/13","Southampton","Fulham",1,"second",1
"2012/13","Stoke","Liverpool",0,"second",0
"2012/13","Man Utd","Newcastle",0,"second",1
"2012/13","Aston Villa","Tottenham",0,"second",0
"2012/13","Fulham","Southampton",0,"second",2
"2012/13","West Brom","Man City",1,"second",1
"2012/13","West Ham","Southampton",1,"second",4
"2012/13","Swansea","Wigan",1,"second",2
"2012/13","Norwich","Arsenal",1,"second",0
"2012/13","Man Utd","Stoke",1,"second",2
"2012/13","Fulham","Aston Villa",1,"second",1
"2012/13","Liverpool","Reading",1,"second",0
"2012/13","Man City","West Brom",0,"second",2
"2012/13","Southampton","West Ham",0,"second",1
"2012/13","Wigan","Swansea",0,"second",1
"2012/13","Arsenal","Norwich",0,"second",0
"2012/13","Stoke","Man Utd",0,"second",1
"2012/13","Aston Villa","Fulham",0,"second",0
"2012/13","Reading","Liverpool",0,"second",0
"2012/13","QPR","Everton",1,"second",0
"2012/13","Sunderland","Newcastle",1,"second",1
"2012/13","Everton","QPR",0,"second",0
"2012/13","Newcastle","Sunderland",0,"second",0
"2012/13","Aston Villa","Norwich",1,"second",0
"2012/13","Man City","Swansea",1,"second",1
"2012/13","Wigan","West Ham",1,"second",1
"2012/13","Stoke","Sunderland",1,"second",0
"2012/13","Reading","Fulham",1,"second",2
"2012/13","Arsenal","QPR",1,"second",1
"2012/13","Norwich","Aston Villa",0,"second",1
"2012/13","Swansea","Man City",0,"second",0
"2012/13","West Ham","Wigan",0,"second",1
"2012/13","Sunderland","Stoke",0,"second",0
"2012/13","Fulham","Reading",0,"second",3
"2012/13","QPR","Arsenal",0,"second",0
"2012/13","Chelsea","Man Utd",1,"second",1
"2012/13","Everton","Liverpool",1,"second",0
"2012/13","Southampton","Tottenham",1,"second",1
"2012/13","Newcastle","West Brom",1,"second",1
"2012/13","Man Utd","Chelsea",0,"second",1
"2012/13","Liverpool","Everton",0,"second",0
"2012/13","Tottenham","Southampton",0,"second",0
"2012/13","West Brom","Newcastle",0,"second",1
"2012/13","Swansea","Chelsea",1,"second",1
"2012/13","Norwich","Stoke",1,"second",0
"2012/13","West Ham","Man City",1,"second",0
"2012/13","Tottenham","Wigan",1,"second",0
"2012/13","Sunderland","Aston Villa",1,"second",0
"2012/13","Fulham","Everton",1,"second",1
"2012/13","Man Utd","Arsenal",1,"second",1
"2012/13","Chelsea","Swansea",0,"second",1
"2012/13","Stoke","Norwich",0,"second",0
"2012/13","Man City","West Ham",0,"second",0
"2012/13","Wigan","Tottenham",0,"second",1
"2012/13","Aston Villa","Sunderland",0,"second",1
"2012/13","Everton","Fulham",0,"second",2
"2012/13","Arsenal","Man Utd",0,"second",1
"2012/13","Liverpool","Newcastle",1,"second",1
"2012/13","QPR","Reading",1,"second",1
"2012/13","Newcastle","Liverpool",0,"second",0
"2012/13","Reading","QPR",0,"second",0
"2012/13","West Brom","Southampton",1,"second",1
"2012/13","Southampton","West Brom",0,"second",0
"2012/13","Reading","Norwich",1,"second",0
"2012/13","Southampton","Swansea",1,"second",1
"2012/13","Arsenal","Fulham",1,"second",1
"2012/13","Aston Villa","Man Utd",1,"second",1
"2012/13","Everton","Sunderland",1,"second",2
"2012/13","Wigan","West Brom",1,"second",0
"2012/13","Stoke","QPR",1,"second",1
"2012/13","Norwich","Reading",0,"second",0
"2012/13","Swansea","Southampton",0,"second",1
"2012/13","Fulham","Arsenal",0,"second",1
"2012/13","Man Utd","Aston Villa",0,"second",3
"2012/13","Sunderland","Everton",0,"second",0
"2012/13","West Brom","Wigan",0,"second",0
"2012/13","QPR","Stoke",0,"second",0
"2012/13","Chelsea","Liverpool",1,"second",0
"2012/13","Newcastle","West Ham",1,"second",0
"2012/13","Man City","Tottenham",1,"second",2
"2012/13","Liverpool","Chelsea",0,"second",1
"2012/13","West Ham","Newcastle",0,"second",0
"2012/13","Tottenham","Man City",0,"second",0
"2012/13","Arsenal","Tottenham",1,"second",2
"2012/13","Liverpool","Wigan",1,"second",3
"2012/13","Man City","Aston Villa",1,"second",4
"2012/13","Newcastle","Swansea",1,"second",1
"2012/13","QPR","Southampton",1,"second",1
"2012/13","Reading","Everton",1,"second",2
"2012/13","West Brom","Chelsea",1,"second",1
"2012/13","Norwich","Man Utd",1,"second",1
"2012/13","Tottenham","Arsenal",0,"second",1
"2012/13","Wigan","Liverpool",0,"second",0
"2012/13","Aston Villa","Man City",0,"second",0
"2012/13","Swansea","Newcastle",0,"second",2
"2012/13","Southampton","QPR",0,"second",1
"2012/13","Everton","Reading",0,"second",0
"2012/13","Chelsea","West Brom",0,"second",0
"2012/13","Man Utd","Norwich",0,"second",0
"2012/13","Fulham","Sunderland",1,"second",1
"2012/13","Sunderland","Fulham",0,"second",3
"2012/13","West Ham","Stoke",1,"second",1
"2012/13","Stoke","West Ham",0,"second",0
"2012/13","Sunderland","West Brom",1,"second",2
"2012/13","Wigan","Reading",1,"second",3
"2012/13","Everton","Norwich",1,"second",0
"2012/13","Man Utd","QPR",1,"second",3
"2012/13","Stoke","Fulham",1,"second",0
"2012/13","Aston Villa","Arsenal",1,"second",0
"2012/13","West Brom","Sunderland",0,"second",2
"2012/13","Reading","Wigan",0,"second",1
"2012/13","Norwich","Everton",0,"second",1
"2012/13","QPR","Man Utd",0,"second",1
"2012/13","Fulham","Stoke",0,"second",0
"2012/13","Arsenal","Aston Villa",0,"second",0
"2012/13","Swansea","Liverpool",1,"second",0
"2012/13","Southampton","Newcastle",1,"second",1
"2012/13","Chelsea","Man City",1,"second",0
"2012/13","Tottenham","West Ham",1,"second",2
"2012/13","Liverpool","Swansea",0,"second",0
"2012/13","Newcastle","Southampton",0,"second",0
"2012/13","Man City","Chelsea",0,"second",0
"2012/13","West Ham","Tottenham",0,"second",1
"2012/13","Sunderland","QPR",1,"second",0
"2012/13","Aston Villa","Reading",1,"second",1
"2012/13","QPR","Sunderland",0,"second",0
"2012/13","Reading","Aston Villa",0,"second",0
"2012/13","Southampton","Norwich",1,"second",0
"2012/13","Stoke","Newcastle",1,"second",2
"2012/13","Swansea","West Brom",1,"second",0
"2012/13","Tottenham","Liverpool",1,"second",0
"2012/13","Everton","Arsenal",1,"second",0
"2012/13","Wigan","Man City",1,"second",0
"2012/13","Man Utd","West Ham",1,"second",0
"2012/13","Chelsea","Fulham",1,"second",0
"2012/13","Norwich","Southampton",0,"second",0
"2012/13","Newcastle","Stoke",0,"second",1
"2012/13","West Brom","Swansea",0,"second",0
"2012/13","Liverpool","Tottenham",0,"second",1
"2012/13","Arsenal","Everton",0,"second",0
"2012/13","Man City","Wigan",0,"second",2
"2012/13","West Ham","Man Utd",0,"second",0
"2012/13","Fulham","Chelsea",0,"second",0
"2012/13","Reading","Man Utd",1,"second",0
"2012/13","Man City","Everton",1,"second",0
"2012/13","Liverpool","Southampton",1,"second",0
"2012/13","Fulham","Tottenham",1,"second",0
"2012/13","Arsenal","Swansea",1,"second",0
"2012/13","QPR","Aston Villa",1,"second",0
"2012/13","West Brom","Stoke",1,"second",0
"2012/13","West Ham","Chelsea",1,"second",3
"2012/13","Man Utd","Reading",0,"second",0
"2012/13","Everton","Man City",0,"second",0
"2012/13","Southampton","Liverpool",0,"second",0
"2012/13","Tottenham","Fulham",0,"second",3
"2012/13","Swansea","Arsenal",0,"second",2
"2012/13","Aston Villa","QPR",0,"second",0
"2012/13","Stoke","West Brom",0,"second",1
"2012/13","Chelsea","West Ham",0,"second",0
"2012/13","Norwich","Sunderland",1,"second",0
"2012/13","Sunderland","Norwich",0,"second",0
"2012/13","Newcastle","Wigan",1,"second",1
"2012/13","Wigan","Newcastle",0,"second",0
"2012/13","Wigan","QPR",1,"second",1
"2012/13","Swansea","Norwich",1,"second",3
"2012/13","Arsenal","West Brom",1,"second",1
"2012/13","Southampton","Reading",1,"second",1
"2012/13","Aston Villa","Stoke",1,"second",0
"2012/13","Sunderland","Chelsea",1,"second",1
"2012/13","QPR","Wigan",0,"second",1
"2012/13","Norwich","Swansea",0,"second",1
"2012/13","West Brom","Arsenal",0,"second",0
"2012/13","Reading","Southampton",0,"second",0
"2012/13","Stoke","Aston Villa",0,"second",0
"2012/13","Chelsea","Sunderland",0,"second",1
"2012/13","Man City","Man Utd",1,"second",2
"2012/13","Everton","Tottenham",1,"second",2
"2012/13","West Ham","Liverpool",1,"second",0
"2012/13","Man Utd","Man City",0,"second",1
"2012/13","Tottenham","Everton",0,"second",1
"2012/13","Liverpool","West Ham",0,"second",2
"2012/13","Fulham","Newcastle",1,"second",1
"2012/13","Newcastle","Fulham",0,"second",1
"2012/13","Sunderland","Reading",1,"second",1
"2012/13","Reading","Sunderland",0,"second",0
"2012/13","Newcastle","Man City",1,"second",1
"2012/13","Norwich","Wigan",1,"second",1
"2012/13","QPR","Fulham",1,"second",2
"2012/13","Liverpool","Aston Villa",1,"second",1
"2012/13","Man Utd","Sunderland",1,"second",1
"2012/13","Stoke","Everton",1,"second",1
"2012/13","Man City","Newcastle",0,"second",1
"2012/13","Wigan","Norwich",0,"second",1
"2012/13","Fulham","QPR",0,"second",1
"2012/13","Aston Villa","Liverpool",0,"second",1
"2012/13","Sunderland","Man Utd",0,"second",1
"2012/13","Everton","Stoke",0,"second",0
"2012/13","Tottenham","Swansea",1,"second",1
"2012/13","West Brom","West Ham",1,"second",0
"2012/13","Swansea","Tottenham",0,"second",0
"2012/13","West Ham","West Brom",0,"second",0
"2012/13","Reading","Arsenal",1,"second",2
"2012/13","Arsenal","Reading",0,"second",2
"2012/13","Southampton","Sunderland",1,"second",0
"2012/13","Newcastle","QPR",1,"second",1
"2012/13","Man City","Reading",1,"second",1
"2012/13","West Brom","Norwich",1,"second",1
"2012/13","Tottenham","Stoke",1,"second",0
"2012/13","Wigan","Arsenal",1,"second",0
"2012/13","Liverpool","Fulham",1,"second",2
"2012/13","West Ham","Everton",1,"second",0
"2012/13","Sunderland","Southampton",0,"second",0
"2012/13","QPR","Newcastle",0,"second",0
"2012/13","Reading","Man City",0,"second",0
"2012/13","Norwich","West Brom",0,"second",0
"2012/13","Stoke","Tottenham",0,"second",0
"2012/13","Arsenal","Wigan",0,"second",1
"2012/13","Fulham","Liverpool",0,"second",0
"2012/13","Everton","West Ham",0,"second",2
"2012/13","Chelsea","Aston Villa",1,"second",5
"2012/13","Swansea","Man Utd",1,"second",0
"2012/13","Aston Villa","Chelsea",0,"second",0
"2012/13","Man Utd","Swansea",0,"second",0
"2012/13","Stoke","Liverpool",1,"second",1
"2012/13","Aston Villa","Tottenham",1,"second",0
"2012/13","Sunderland","Man City",1,"second",1
"2012/13","Reading","Swansea",1,"second",0
"2012/13","QPR","West Brom",1,"second",1
"2012/13","Norwich","Chelsea",1,"second",0
"2012/13","Man Utd","Newcastle",1,"second",3
"2012/13","Fulham","Southampton",1,"second",0
"2012/13","Everton","Wigan",1,"second",2
"2012/13","Liverpool","Stoke",0,"second",0
"2012/13","Tottenham","Aston Villa",0,"second",4
"2012/13","Man City","Sunderland",0,"second",0
"2012/13","Swansea","Reading",0,"second",0
"2012/13","West Brom","QPR",0,"second",1
"2012/13","Chelsea","Norwich",0,"second",0
"2012/13","Newcastle","Man Utd",0,"second",1
"2012/13","Southampton","Fulham",0,"second",1
"2012/13","Wigan","Everton",0,"second",1
"2012/13","Reading","West Ham",1,"second",0
"2012/13","Arsenal","Newcastle",1,"second",6
"2012/13","Fulham","Swansea",1,"second",1
"2012/13","Man Utd","West Brom",1,"second",1
"2012/13","Stoke","Southampton",1,"second",2
"2012/13","Norwich","Man City",1,"second",2
"2012/13","Aston Villa","Wigan",1,"second",0
"2012/13","Sunderland","Tottenham",1,"second",0
"2012/13","West Ham","Reading",0,"second",0
"2012/13","Newcastle","Arsenal",0,"second",2
"2012/13","Swansea","Fulham",0,"second",1
"2012/13","West Brom","Man Utd",0,"second",0
"2012/13","Southampton","Stoke",0,"second",0
"2012/13","Man City","Norwich",0,"second",2
"2012/13","Wigan","Aston Villa",0,"second",2
"2012/13","Tottenham","Sunderland",0,"second",2
"2012/13","QPR","Liverpool",1,"second",0
"2012/13","Everton","Chelsea",1,"second",0
"2012/13","Liverpool","QPR",0,"second",0
"2012/13","Chelsea","Everton",0,"second",1
"2012/13","West Brom","Fulham",1,"second",1
"2012/13","West Ham","Norwich",1,"second",0
"2012/13","Wigan","Man Utd",1,"second",0
"2012/13","Man City","Stoke",1,"second",2
"2012/13","Swansea","Aston Villa",1,"second",1
"2012/13","Tottenham","Reading",1,"second",2
"2012/13","Southampton","Arsenal",1,"second",0
"2012/13","Fulham","West Brom",0,"second",1
"2012/13","Norwich","West Ham",0,"second",1
"2012/13","Man Utd","Wigan",0,"second",2
"2012/13","Stoke","Man City",0,"second",0
"2012/13","Aston Villa","Swansea",0,"second",1
"2012/13","Reading","Tottenham",0,"second",0
"2012/13","Arsenal","Southampton",0,"second",0
"2012/13","Chelsea","QPR",1,"second",0
"2012/13","Liverpool","Sunderland",1,"second",1
"2012/13","Newcastle","Everton",1,"second",0
"2012/13","QPR","Chelsea",0,"second",1
"2012/13","Sunderland","Liverpool",0,"second",0
"2012/13","Everton","Newcastle",0,"second",1
"2012/13","QPR","Tottenham",1,"second",0
"2012/13","Reading","West Brom",1,"second",3
"2012/13","Stoke","Chelsea",1,"second",0
"2012/13","Sunderland","West Ham",1,"second",2
"2012/13","Aston Villa","Southampton",1,"second",0
"2012/13","Everton","Swansea",1,"second",0
"2012/13","Fulham","Wigan",1,"second",0
"2012/13","Norwich","Newcastle",1,"second",0
"2012/13","Tottenham","QPR",0,"second",0
"2012/13","West Brom","Reading",0,"second",1
"2012/13","Chelsea","Stoke",0,"second",3
"2012/13","West Ham","Sunderland",0,"second",0
"2012/13","Southampton","Aston Villa",0,"second",0
"2012/13","Swansea","Everton",0,"second",0
"2012/13","Wigan","Fulham",0,"second",1
"2012/13","Newcastle","Norwich",0,"second",0
"2012/13","Man Utd","Liverpool",1,"second",1
"2012/13","Arsenal","Man City",1,"second",0
"2012/13","Liverpool","Man Utd",0,"second",1
"2012/13","Man City","Arsenal",0,"second",0
"2012/13","Chelsea","Southampton",1,"second",0
"2012/13","Southampton","Chelsea",0,"second",2
