"season","team","opponent","playing","half","goals"
"2012/13","Southampton","Swansea",1,"first",0
"2012/13","Arsenal","Fulham",1,"first",2
"2012/13","Aston Villa","Man Utd",1,"first",1
"2012/13","Everton","Sunderland",1,"first",0
"2012/13","Wigan","West Brom",1,"first",1
"2012/13","Stoke","QPR",1,"first",0
"2012/13","Norwich","Reading",0,"first",0
"2012/13","Swansea","Southampton",0,"first",0
"2012/13","Fulham","Arsenal",0,"first",2
"2012/13","Man Utd","Aston Villa",0,"first",0
"2012/13","Sunderland","Everton",0,"first",1
"2012/13","West Brom","Wigan",0,"first",2
"2012/13","QPR","Stoke",0,"first",0
"2012/13","Chelsea","Liverpool",1,"first",1
"2012/13","Newcastle","West Ham",1,"first",0
"2012/13","Man City","Tottenham",1,"first",0
"2012/13","Liverpool","Chelsea",0,"first",0
"2012/13","West Ham","Newcastle",0,"first",1
"2012/13","Tottenham","Man City",0,"first",1
"2012/13","Arsenal","Tottenham",1,"first",3
"2012/13","Liverpool","Wigan",1,"first",0
"2012/13","Man City","Aston Villa",1,"first",1
"2012/13","Newcastle","Swansea",1,"first",0
"2012/13","QPR","Southampton",1,"first",0
"2012/13","Reading","Everton",1,"first",0
"2012/13","West Brom","Chelsea",1,"first",1
"2012/13","Norwich","Man Utd",1,"first",0
"2012/13","Tottenham","Arsenal",0,"first",1
"2012/13","Wigan","Liverpool",0,"first",0
"2012/13","Aston Villa","Man City",0,"first",0
"2012/13","Swansea","Newcastle",0,"first",0
"2012/13","Southampton","QPR",0,"first",2
"2012/13","Everton","Reading",0,"first",1
"2012/13","Chelsea","West Brom",0,"first",1
"2012/13","Man Utd","Norwich",0,"first",0
"2012/13","Fulham","Sunderland",1,"first",0
"2012/13","Sunderland","Fulham",0,"first",0
"2012/13","West Ham","Stoke",1,"first",0
"2012/13","Stoke","West Ham",0,"first",1
"2012/13","Sunderland","West Brom",1,"first",0
"2012/13","Wigan","Reading",1,"first",0
"2012/13","Everton","Norwich",1,"first",1
"2012/13","Man Utd","QPR",1,"first",0
"2012/13","Stoke","Fulham",1,"first",1
"2012/13","Aston Villa","Arsenal",1,"first",0
"2012/13","West Brom","Sunderland",0,"first",2
"2012/13","Reading","Wigan",0,"first",1
"2012/13","Norwich","Everton",0,"first",0
"2012/13","QPR","Man Utd",0,"first",0
"2012/13","Fulham","Stoke",0,"first",0
"2012/13","Arsenal","Aston Villa",0,"first",0
"2012/13","Swansea","Liverpool",1,"first",0
"2012/13","Southampton","Newcastle",1,"first",1
"2012/13","Chelsea","Man City",1,"first",0
"2012/13","Tottenham","West Ham",1,"first",1
"2012/13","Liverpool","Swansea",0,"first",0
"2012/13","Newcastle","Southampton",0,"first",0
"2012/13","Man City","Chelsea",0,"first",0
"2012/13","West Ham","Tottenham",0,"first",0
"2012/13","Sunderland","QPR",1,"first",0
"2012/13","Aston Villa","Reading",1,"first",0
"2012/13","QPR","Sunderland",0,"first",0
"2012/13","Reading","Aston Villa",0,"first",0
"2012/13","Southampton","Norwich",1,"first",1
"2012/13","Stoke","Newcastle",1,"first",0
"2012/13","Swansea","West Brom",1,"first",3
"2012/13","Tottenham","Liverpool",1,"first",2
"2012/13","Everton","Arsenal",1,"first",1
"2012/13","Wigan","Man City",1,"first",0
"2012/13","Man Utd","West Ham",1,"first",1
"2012/13","Chelsea","Fulham",1,"first",0
"2012/13","Norwich","Southampton",0,"first",1
"2012/13","Newcastle","Stoke",0,"first",0
"2012/13","West Brom","Swansea",0,"first",1
"2012/13","Liverpool","Tottenham",0,"first",0
"2012/13","Arsenal","Everton",0,"first",1
"2012/13","Man City","Wigan",0,"first",0
"2012/13","West Ham","Man Utd",0,"first",0
"2012/13","Fulham","Chelsea",0,"first",0
"2012/13","Reading","Man Utd",1,"first",3
"2012/13","Man City","Everton",1,"first",1
"2012/13","Liverpool","Southampton",1,"first",1
"2012/13","Fulham","Tottenham",1,"first",0
"2012/13","Arsenal","Swansea",1,"first",0
"2012/13","QPR","Aston Villa",1,"first",1
"2012/13","West Brom","Stoke",1,"first",0
"2012/13","West Ham","Chelsea",1,"first",0
"2012/13","Man Utd","Reading",0,"first",4
"2012/13","Everton","Man City",0,"first",1
"2012/13","Southampton","Liverpool",0,"first",0
"2012/13","Tottenham","Fulham",0,"first",0
"2012/13","Swansea","Arsenal",0,"first",0
"2012/13","Aston Villa","QPR",0,"first",1
"2012/13","Stoke","West Brom",0,"first",0
"2012/13","Chelsea","West Ham",0,"first",1
"2012/13","Norwich","Sunderland",1,"first",2
"2012/13","Sunderland","Norwich",0,"first",1
"2012/13","Newcastle","Wigan",1,"first",2
"2012/13","Wigan","Newcastle",0,"first",0
"2012/13","Wigan","QPR",1,"first",1
"2012/13","Swansea","Norwich",1,"first",0
"2012/13","Arsenal","West Brom",1,"first",1
"2012/13","Southampton","Reading",1,"first",0
"2012/13","Aston Villa","Stoke",1,"first",0
"2012/13","Sunderland","Chelsea",1,"first",0
"2012/13","QPR","Wigan",0,"first",1
"2012/13","Norwich","Swansea",0,"first",3
"2012/13","West Brom","Arsenal",0,"first",0
"2012/13","Reading","Southampton",0,"first",0
"2012/13","Stoke","Aston Villa",0,"first",0
"2012/13","Chelsea","Sunderland",0,"first",2
"2012/13","Man City","Man Utd",1,"first",0
"2012/13","Everton","Tottenham",1,"first",0
"2012/13","West Ham","Liverpool",1,"first",2
"2012/13","Man Utd","Man City",0,"first",2
"2012/13","Tottenham","Everton",0,"first",0
"2012/13","Liverpool","West Ham",0,"first",1
"2012/13","Fulham","Newcastle",1,"first",1
"2012/13","Newcastle","Fulham",0,"first",0
"2012/13","Sunderland","Reading",1,"first",2
